AAS	Adj. Masc./Neut. Sing.
Abreviatura	abreviatura
AEL	Adj. Fem./Masc. Plur./Sing.
AEP	Adj. Fem./Masc. Plur.
AES	Adj. Fem./Masc. Sing.
AFL	Adj. Fem. Plur./Sing.
AFP	Adj. Fem. Plur.
AFS	Adj. Fem. Sing.
AIS	Adj. Fem./Masc./Neut. Sing.
AML	Adj. Masc. Plur./Sing.
AMP	Adj. Masc. Plur.
AMS	Adj. Masc. Sing.
ANS	Adj. Neut. Sing.
C	Conj.
DAFP	Det. Art.-Det. Fem. Plur.
DAFS	Det. Art.-Det. Fem. Sing.
DAMP	Det. Art.-Det. Masc. Plur.
DAMS	Det. Art.-Det. Masc. Sing.
DANS	Det. Art.-Det. Neut. Sing.
DBEP	Det. Dist. Fem./Masc. Plur.
DBES	Det. Dist. Fem./Masc. Sing.
DBFP	Det. Art.-Indet. Fem. Plur.
DBFP	Det. Dist. Fem. Plur.
DBFS	Det. Art.-Indet. Fem. Sing.
DBFS	Det. Dist. Fem. Sing.
DBMP	Det. Art.-Indet. Masc. Plur.
DBMP	Det. Dist. Masc. Plur.
DBMS	Det. Art.-Indet. Masc. Sing.
DBMS	Det. Dist. Masc. Sing.
DCEP	Det. Num.-Card. Fem./Masc. Plur.
DCFP	Det. Num.-Card. Fem. Plur.
DCFS	Det. Num.-Card. Fem. Sing.
DCMP	Det. Num.-Card. Masc. Plur.
DCMS	Det. Num.-Card. Masc. Sing.
DDEP	Det. Dem. Fem./Masc. Plur.
DDES	Det. Dem. Fem./Masc. Sing.
DDFP	Det. Dem. Fem. Plur.
DDFS	Det. Dem. Fem. Sing.
DDMP	Det. Dem. Masc. Plur.
DDMS	Det. Dem. Masc. Sing.
DDNS	Det. Dem. Neut. Sing.
DEFP	Det. Refl. Fem. Plur.
DEFS	Det. Refl. Fem. Sing.
DEMP	Det. Refl. Masc. Plur.
DEMS	Det. Refl. Masc. Sing.
DGFP	Det. Glob. Fem. Plur.
DGFS	Det. Glob. Fem. Sing.
DGMP	Det. Glob. Masc. Plur.
DGMS	Det. Glob. Masc. Sing.
DGNS	Det. Glob. Neut. Sing.
DIFP	Det. Art.-Indet. Fem. Plur.
DIFS	Det. Art.-Indet. Fem. Sing.
DIMP	Det. Art.-Indet. Masc. Plur.
DIMS	Det. Art.-Indet. Masc. Sing.
DLFP	Det. Rel. Fem. Plur.
DLFS	Det. Rel. Fem. Sing.
DLMP	Det. Rel. Masc. Plur.
DLMS	Det. Rel. Masc. Sing.
DNEP	Det. Indef. Com. Plur.
DNES	Det. Indef. Fem./Masc. Sing.
DNFP	Det. Indef. Fem. Plur.
DNFS	Det. Indef. Fem. Sing.
DNMP	Det. Indef. Masc. Plur.
DNMS	Det. Indef. Masc. Sing.
DOEL	Det. Comp. Fem./Masc. Plur./Sing.
DOEP	Det. Comp. Fem./Masc. Plur.
DOES	Det. Comp. Fem./Masc. Sing.
DOFL	Det. Comp. Fem. Plur./Sing.
DOFP	Det. Comp. Fem. Plur.
DOFS	Det. Comp. Fem. Sing.
DOML	Det. Comp. Masc. Plur./Sing.
DOMP	Det. Comp. Masc. Plur.
DOMS	Det. Comp. Masc. Sing.
DPFP	Det. Num.-Part. Fem. Plur.
DPFS	Det. Num.-Part. Fem. Sing.
DPMP	Det. Num.-Part. Masc. Plur.
DPMS	Det. Num.-Part. Masc. Sing.
DQEP	Det. Cuant. Fem./Masc. Plur.
DQES	Det. Cuant. Fem./Masc. Sing.
DQFP	Det. Cuant. Fem. Plur.
DQFS	Det. Cuant. Fem. Sing.
DQMP	Det. Cuant. Masc. Plur.
DQMS	Det. Cuant. Masc. Sing.
DRFP	Det. Num.-Ord. Fem. Plur.
DRFS	Det. Num.-Ord. Fem. Sing.
DRMP	Det. Num.-Ord. Masc. Plur.
DRMS	Det. Num.-Ord. Masc. Sing.
DS1EP	Det. Pos. 1.ª-Pers.-Sing. Fem./Masc. Plur.
DS1ES	Det. Pos. 1.ª-Pers.-Sing. Fem./Masc. Sing.
DS1FP	Det. Pos. 1.ª-Pers.-Sing. Fem. Plur.
DS1FS	Det. Pos. 1.ª-Pers.-Sing. Fem. Sing.
DS1MP	Det. Pos. 1.ª-Pers.-Sing. Masc. Plur.
DS1MS	Det. Pos. 1.ª-Pers.-Sing. Masc. Sing.
DS2EP	Det. Pos. 2.ª-Pers.-Sing. Fem./Masc. Plur.
DS2ES	Det. Pos. 2.ª-Pers.-Sing. Fem./Masc. Sing.
DS2FP	Det. Pos. 2.ª-Pers.-Sing. Fem. Plur.
DS2FS	Det. Pos. 2.ª-Pers.-Sing. Fem. Sing.
DS2MP	Det. Pos. 2.ª-Pers.-Sing. Masc. Plur.
DS2MS	Det. Pos. 2.ª-Pers.-Sing. Masc. Sing.
DS3FP	Det. Pos. 3.ª-Pers.-Sing. Fem. Plur.
DS3FS	Det. Pos. 3.ª-Pers.-Sing. Fem. Sing.
DS3MP	Det. Pos. 3.ª-Pers.-Sing. Masc. Plur.
DS3MS	Det. Pos. 3.ª-Pers.-Sing. Masc. Sing.
DS4FP	Det. Pos. 1.ª-Pers.-Plur. Fem. Plur.
DS4FS	Det. Pos. 1.ª-Pers.-Plur. Fem. Sing.
DS4MP	Det. Pos. 1.ª-Pers.-Plur. Masc. Plur.
DS4MS	Det. Pos. 1.ª-Pers.-Plur. Masc. Sing.
DS5FP	Det. Pos. 2.ª-Pers.-Plur. Fem. Plur.
DS5FS	Det. Pos. 2.ª-Pers.-Plur. Fem. Sing.
DS5MP	Det. Pos. 2.ª-Pers.-Plur. Masc. Plur.
DS5MS	Det. Pos. 2.ª-Pers.-Plur. Masc. Sing.
DS6FP	Det. Pos. 3.ª-Pers.-Plur. Fem. Plur.
DS6FS	Det. Pos. 3.ª-Pers.-Plur. Fem. Sing.
